label,label,nuclei_area,nuclei_i,nuclei_j,nuclei_bounds,foci_count,foci_area,nucleus_number_neighbors_1,nucleus_percent_touching_1,nucleus_first_neighbor_distance,nucleus_second_neighbor_distance,nucleus_angle_between_neighbors
126,126,1772.0,1012.2262979683973,1301.7454853273139,"(990, 1272, 1033, 1330)",0,0,0,0.0,105.75244853778905,124.27715931016536,99.96383886657011
127,127,1473.0,1020.928038017651,834.306177868296,"(994, 816, 1045, 859)",2,38,0,0.0,81.02093774273004,84.64069232908021,101.80717555431929
128,128,1655.0,1020.0755287009064,424.5377643504532,"(995, 402, 1044, 448)",0,0,2,0.3027027027027027,31.59421088630183,35.52692913636171,149.76854484842738
129,129,257.0,1016.2256809338521,393.17898832684824,"(1009, 384, 1025, 403)",0,0,1,0.18181818181818182,31.59421088630183,64.80693625574334,16.022438667680888
130,130,1279.0,1036.725566849101,1136.6059421422988,"(1014, 1115, 1060, 1155)",1,16,0,0.0,70.93067512228754,72.83243136033583,136.5827172107329
131,131,1664.0,1051.9627403846155,246.87560096153845,"(1028, 219, 1077, 275)",0,0,1,0.2669902912621359,34.41709094600531,72.40393778343294,51.31361744436495
132,132,1421.0,1060.9838142153412,1009.6446164672766,"(1029, 991, 1088, 1027)",4,52,0,0.0,63.71048599315195,66.34401169246942,54.12119811222551
133,133,1515.0,1055.1584158415842,1205.0996699669968,"(1037, 1181, 1074, 1232)",0,0,0,0.0,48.863974608790855,70.93067512228754,83.0238577677575
134,134,1706.0,1071.3159437280187,1072.5117233294256,"(1049, 1045, 1094, 1096)",2,16,0,0.0,59.21249527538856,63.71048599315195,65.20930226895067
135,135,1570.0,1070.5617834394905,275.8343949044586,"(1051, 245, 1088, 304)",0,0,1,0.291005291005291,34.41709094600531,57.547070877333724,100.85703242582547
136,136,1956.0,1090.1073619631902,620.709100204499,"(1063, 599, 1119, 644)",3,35,0,0.0,66.19770504687693,111.0311665335149,15.656001782019375
137,137,1055.0,1104.368720379147,496.68056872037914,"(1080, 481, 1129, 512)",0,0,0,0.0,104.61259638649332,105.94476284574753,170.14575764941944
138,138,1038.0,1096.6396917148363,947.2976878612717,"(1081, 928, 1113, 971)",3,52,0,0.0,71.82256683564903,77.39811848628673,148.16464988536364
139,139,1229.0,1106.3767290480066,347.2351505288853,"(1082, 331, 1130, 364)",2,26,0,0.0,79.87977361435168,94.47536489253568,37.372889992045685
140,140,989.0,1100.4519716885743,1186.7644084934277,"(1082, 1172, 1124, 1205)",2,20,0,0.0,48.863974608790855,62.007273072726264,142.60078666982508
